ZIP Code,Duration Buyers,city,state_id,,Zip Code,CPL Payouts,city,state_id,,,Zip Code,Duraiton no GMB allowed,city,state_id
92780,$26.78,Tustin,CA,,85211,$43.50,Mesa,AZ,,,78256,$20.63,San Antonio,TX
92802,$26.78,Anaheim,CA,,85212,$43.50,Mesa,AZ,,,78257,$20.63,San Antonio,TX
92866,$26.78,Orange,CA,,85213,$43.50,Mesa,AZ,,,78258,$20.63,San Antonio,TX
92869,$26.78,Orange,CA,,85214,$43.50,Mesa,AZ,,,78259,$20.63,San Antonio,TX
92870,$26.78,Placentia,CA,,85215,$43.50,Mesa,AZ,,,78260,$20.63,San Antonio,TX
94024,$26.78,Los Altos,CA,,85216,$43.50,Mesa,AZ,,,78261,$20.63,San Antonio,TX
94402,$26.78,San Mateo,CA,,85224,$43.50,Chandler,AZ,,,78263,$20.63,San Antonio,TX
95062,$26.78,Santa Cruz,CA,,85225,$43.50,Chandler,AZ,,,78266,$20.63,San Antonio,TX
95110,$26.78,San Jose,CA,,85226,$43.50,Chandler,AZ,,,78004,$20.63,Bergheim,TX
95111,$26.78,San Jose,CA,,85233,$43.50,Gilbert,AZ,,,78123,$20.63,McQueeney,TX
95122,$26.78,San Jose,CA,,85234,$43.50,Gilbert,AZ,,,77065,$19.80,Houston,TX
95129,$26.78,San Jose,CA,,85236,$43.50,Higley,AZ,,,77084,$19.80,Houston,TX
95136,$26.78,San Jose,CA,,85244,$43.50,Higley,AZ,,,77095,$19.80,Houston,TX
95138,$26.78,San Jose,CA,,85246,$43.50,Higley,AZ,,,77072,$19.80,Houston,TX
97005,$26.78,Beaverton,OR,,85248,$43.50,Chandler,AZ,,,77082,$19.80,Houston,TX
97007,$26.78,Beaverton,OR,,85249,$43.50,Chandler,AZ,,,77083,$19.80,Houston,TX
97008,$26.78,Beaverton,OR,,85250,$43.50,Scottsdale,AZ,,,77094,$19.80,Houston,TX
97030,$26.78,Gresham,OR,,85251,$43.50,Scottsdale,AZ,,,77077,$19.80,Houston,TX
97086,$26.78,Happy Valley,OR,,85252,$43.50,Scottsdale,AZ,,,77079,$19.80,Houston,TX
97201,$26.78,Portland,OR,,85253,$43.50,Paradise Valley,AZ,,,77204,$19.80,Houston,TX
97203,$26.78,Portland,OR,,85254,$43.50,Scottsdale,AZ,,,77068,$19.80,Houston,TX
97206,$26.78,Portland,OR,,85256,$43.50,Scottsdale,AZ,,,77069,$19.80,Houston,TX
97213,$26.78,Portland,OR,,85257,$43.50,Scottsdale,AZ,,,77070,$19.80,Houston,TX
97217,$26.78,Portland,OR,,85258,$43.50,Scottsdale,AZ,,,77090,$19.80,Houston,TX
97223,$26.78,Portland,OR,,85259,$43.50,Scottsdale,AZ,,,77008,$19.80,Houston,TX
97229,$26.78,Portland,OR,,85260,$43.50,Scottsdale,AZ,,,77018,$19.80,Houston,TX
97230,$26.78,Portland,OR,,85261,$43.50,Scottsdale,AZ,,,77024,$19.80,Houston,TX
97233,$26.78,Portland,OR,,85266,$43.50,Scottsdale,AZ,,,77036,$19.80,Houston,TX
98007,$26.78,Bellevue,WA,,85267,$43.50,Scottsdale,AZ,,,77040,$19.80,Houston,TX
98020,$26.78,Edmonds,WA,,85268,$43.50,Fountain Hills,AZ,,,77041,$19.80,Houston,TX
