Zip Code,CPL Buyer Payouts,city,state_id
85127,$469.50,Arizona City,AZ
85140,$469.50,San Tan Valley,AZ
85142,$469.50,Queen Creek,AZ
85143,$469.50,San Tan Valley,AZ
85190,$469.50,Superior,AZ
85201,$469.50,Mesa,AZ
85202,$469.50,Mesa,AZ
85203,$469.50,Mesa,AZ
85204,$469.50,Mesa,AZ
85205,$469.50,Mesa,AZ
85206,$469.50,Mesa,AZ
85207,$469.50,Mesa,AZ
85208,$469.50,Mesa,AZ
85209,$469.50,Mesa,AZ
85210,$469.50,Mesa,AZ
85211,$469.50,Mesa,AZ
85212,$469.50,Mesa,AZ
85213,$469.50,Mesa,AZ
85214,$469.50,Mesa,AZ
85215,$469.50,Mesa,AZ
85216,$469.50,Mesa,AZ
85224,$469.50,Chandler,AZ
85225,$469.50,Chandler,AZ
85226,$469.50,Chandler,AZ
85233,$469.50,Gilbert,AZ
85234,$469.50,Gilbert,AZ
85236,$469.50,Higley,AZ
85244,$469.50,Higley,AZ
85246,$469.50,Higley,AZ
85248,$469.50,Chandler,AZ
85249,$469.50,Chandler,AZ
85250,$469.50,Scottsdale,AZ
85251,$469.50,Scottsdale,AZ
85252,$469.50,Scottsdale,AZ
85253,$469.50,Paradise Valley,AZ
85254,$469.50,Scottsdale,AZ
85255,$469.50,Scottsdale,AZ
85256,$469.50,Scottsdale,AZ
85257,$469.50,Scottsdale,AZ
85258,$469.50,Scottsdale,AZ
85259,$469.50,Scottsdale,AZ
85260,$469.50,Scottsdale,AZ
85261,$469.50,Scottsdale,AZ
85262,$469.50,Scottsdale,AZ
85263,$469.50,Rio Verde,AZ
85266,$469.50,Scottsdale,AZ
85267,$469.50,Scottsdale,AZ
85268,$469.50,Fountain Hills,AZ
85269,$469.50,Fountain Hills,AZ
85271,$469.50,Fountain Hills,AZ
85274,$469.50,Fountain Hills,AZ
85275,$469.50,Fountain Hills,AZ
85277,$469.50,Fountain Hills,AZ
85280,$469.50,Fountain Hills,AZ
85281,$469.50,Tempe,AZ
85282,$469.50,Tempe,AZ
85283,$469.50,Tempe,AZ
85284,$469.50,Tempe,AZ
85285,$469.50,Tempe,AZ
85286,$469.50,Chandler,AZ
85287,$469.50,Chandler,AZ
85295,$469.50,Gilbert,AZ
85296,$469.50,Gilbert,AZ
85297,$469.50,Gilbert,AZ
85298,$469.50,Gilbert,AZ
85299,$469.50,Gilbert,AZ
85301,$469.50,Glendale,AZ
85302,$469.50,Glendale,AZ
85303,$469.50,Glendale,AZ
85304,$469.50,Glendale,AZ
85305,$469.50,Glendale,AZ
85306,$469.50,Glendale,AZ
85307,$469.50,Glendale,AZ
85308,$469.50,Glendale,AZ
85309,$469.50,Luke Air Force Base,AZ
85310,$469.50,Glendale,AZ
85311,$469.50,Glendale,AZ
85312,$469.50,Glendale,AZ
85318,$469.50,Glendale,AZ
85321,$469.50,Ajo,AZ
85323,$469.50,Avondale,AZ
85326,$469.50,Buckeye,AZ
85327,$469.50,Cave Creek,AZ
85329,$469.50,Cashion,AZ
85331,$469.50,Cave Creek,AZ
85335,$469.50,El Mirage,AZ
85338,$469.50,Goodyear,AZ
85339,$469.50,Laveen,AZ
85340,$469.50,Litchfield Park,AZ
85341,$469.50,Lukeville,AZ
85345,$469.50,Peoria,AZ
85351,$469.50,Sun City,AZ
85353,$469.50,Tolleson,AZ
85355,$469.50,Waddell,AZ
85358,$469.50,Wenden,AZ
85363,$469.50,Youngtown,AZ
85372,$469.50,Poston,AZ
85373,$469.50,Sun City,AZ
85374,$469.50,Surprise,AZ
85375,$469.50,Sun City West,AZ
85376,$469.50,Sun City West,AZ
85377,$469.50,Carefree,AZ
85378,$469.50,Surprise,AZ
85379,$469.50,Surprise,AZ
85380,$469.50,Surprise,AZ
85381,$469.50,Peoria,AZ
85382,$469.50,Peoria,AZ
85383,$469.50,Peoria,AZ
85385,$469.50,Peoria,AZ
85387,$469.50,Surprise,AZ
85388,$469.50,Surprise,AZ
85392,$469.50,Avondale,AZ
85395,$469.50,Goodyear,AZ
85396,$469.50,Buckeye,AZ
85601,$469.50,Arivaca,AZ
85614,$469.50,Green Valley,AZ
85619,$469.50,Mount Lemmon,AZ
85622,$469.50,Green Valley,AZ
85629,$469.50,Sahuarita,AZ
85633,$469.50,Sasabe,AZ
85634,$469.50,Sells,AZ
85639,$469.50,Topawa,AZ
85641,$469.50,Vail,AZ
85652,$469.50,Sierra Vista,AZ
85653,$469.50,Marana,AZ
85654,$469.50,Rillito,AZ
85701,$469.50,Tucson,AZ
85702,$469.50,Tucson,AZ
85703,$469.50,Tucson,AZ
85704,$469.50,Tucson,AZ
85705,$469.50,Tucson,AZ
85706,$469.50,Tucson,AZ
85707,$469.50,Tucson,AZ
85708,$469.50,Tucson,AZ
85709,$469.50,Tucson,AZ
85710,$469.50,Tucson,AZ
85711,$469.50,Tucson,AZ
85712,$469.50,Tucson,AZ
85713,$469.50,Tucson,AZ
85714,$469.50,Tucson,AZ
85715,$469.50,Tucson,AZ
85716,$469.50,Tucson,AZ
85717,$469.50,Tucson,AZ
85718,$469.50,Tucson,AZ
85719,$469.50,Tucson,AZ
85720,$469.50,Tucson,AZ
85721,$469.50,Tucson,AZ
85722,$469.50,Tucson,AZ
85723,$469.50,Tucson,AZ
85724,$469.50,Tucson,AZ
85725,$469.50,Tucson,AZ
85726,$469.50,Tucson,AZ
85728,$469.50,Tucson,AZ
85730,$469.50,Tucson,AZ
85731,$469.50,Tucson,AZ
85732,$469.50,Tucson,AZ
85733,$469.50,Tucson,AZ
85734,$469.50,Tucson,AZ
85735,$469.50,Tucson,AZ
85736,$469.50,Tucson,AZ
85737,$469.50,Tucson,AZ
85738,$469.50,Tucson,AZ
85739,$469.50,Tucson,AZ
85740,$469.50,Tucson,AZ
85741,$469.50,Tucson,AZ
85742,$469.50,Tucson,AZ
85743,$469.50,Tucson,AZ
85744,$469.50,Tucson,AZ
85745,$469.50,Tucson,AZ
85746,$469.50,Tucson,AZ
85747,$469.50,Tucson,AZ
85748,$469.50,Tucson,AZ
85749,$469.50,Tucson,AZ
85750,$469.50,Tucson,AZ
85751,$469.50,Tucson,AZ
85752,$469.50,Tucson,AZ
85754,$469.50,Tucson,AZ
85755,$469.50,Tucson,AZ
85756,$469.50,Tucson,AZ
85757,$469.50,Tucson,AZ
85775,$469.50,Tucson,AZ
83605,$450.50,Caldwell,ID
83606,$450.50,Caldwell,ID
83607,$450.50,Caldwell,ID
83616,$450.50,Eagle,ID
83626,$450.50,Greenleaf,ID
83630,$450.50,Horseshoe Bend,ID
83634,$450.50,Kuna,ID
83641,$450.50,Melba,ID
83642,$450.50,Meridian,ID
83644,$450.50,Middleton,ID
83646,$450.50,Meridian,ID
83651,$450.50,Nampa,ID
83652,$450.50,Nampa,ID
83653,$450.50,Nampa,ID
83656,$450.50,Notus,ID
83660,$450.50,Parma,ID
83669,$450.50,Star,ID
83676,$450.50,Wilder,ID
83680,$450.50,Yellow Pine,ID
83686,$450.50,Nampa,ID
83687,$450.50,Nampa,ID
83701,$450.50,Nampa,ID
83702,$450.50,Boise,ID
83703,$450.50,Boise,ID
83704,$450.50,Boise,ID
83705,$450.50,Boise,ID
83706,$450.50,Boise,ID
83707,$450.50,Boise,ID
83708,$450.50,Boise,ID
83709,$450.50,Boise,ID
83711,$450.50,Boise,ID
83712,$450.50,Boise,ID
83713,$450.50,Boise,ID
83714,$450.50,Garden City,ID
83715,$450.50,Garden City,ID
83716,$450.50,Boise,ID
83717,$450.50,Boise,ID
83719,$450.50,Boise,ID
83720,$450.50,Boise,ID
83722,$450.50,Boise,ID
83724,$450.50,Boise,ID
83725,$450.50,Boise,ID
83726,$450.50,Boise,ID
83728,$450.50,Boise,ID
83729,$450.50,Boise,ID
83731,$450.50,Boise,ID
83732,$450.50,Boise,ID
83735,$450.50,Boise,ID
83756,$450.50,Boise,ID
83799,$450.50,Boise,ID
78610,$426.00,Buda,TX
78619,$426.00,Driftwood,TX
78620,$426.00,Dripping Springs,TX
78640,$426.00,Kyle,TX
78666,$426.00,San Marcos,TX
78667,$426.00,San Marcos,TX
78676,$426.00,Wimberley,TX
78737,$426.00,Austin,TX
75001,$409.50,Addison,TX
75002,$409.50,Allen,TX
75006,$409.50,Carrollton,TX
75009,$409.50,Celina,TX
75011,$409.50,Carrollton,TX
75013,$409.50,Allen,TX
75014,$409.50,Allen,TX
75015,$409.50,Allen,TX
75016,$409.50,Allen,TX
75017,$409.50,Allen,TX
75019,$409.50,Coppell,TX
75023,$409.50,Plano,TX
75024,$409.50,Plano,TX
75025,$409.50,Plano,TX
75026,$409.50,Plano,TX
75030,$409.50,Flower Mound,TX
75032,$409.50,Rockwall,TX
75035,$409.50,Frisco,TX
75038,$409.50,Irving,TX
75039,$409.50,Irving,TX
75040,$409.50,Garland,TX
75041,$409.50,Garland,TX
75042,$409.50,Garland,TX
75043,$409.50,Garland,TX
75044,$409.50,Garland,TX
75045,$409.50,Garland,TX
75046,$409.50,Garland,TX
75047,$409.50,Garland,TX
75048,$409.50,Sachse,TX
75049,$409.50,Sachse,TX
75050,$409.50,Grand Prairie,TX
75051,$409.50,Grand Prairie,TX
75052,$409.50,Grand Prairie,TX
75053,$409.50,Grand Prairie,TX
75054,$409.50,Grand Prairie,TX
75060,$409.50,Irving,TX
75061,$409.50,Irving,TX
75062,$409.50,Irving,TX
75063,$409.50,Irving,TX
75069,$409.50,Mckinney,TX
75070,$409.50,Mckinney,TX
75071,$409.50,Mckinney,TX
75074,$409.50,Plano,TX
75075,$409.50,Plano,TX
75078,$409.50,Prosper,TX
75080,$409.50,Richardson,TX
75081,$409.50,Richardson,TX
75082,$409.50,Richardson,TX
75083,$409.50,Richardson,TX
75085,$409.50,Richardson,TX
75086,$409.50,Richardson,TX
75087,$409.50,Rockwall,TX
75088,$409.50,Rowlett,TX
75089,$409.50,Rowlett,TX
75093,$409.50,Plano,TX
75094,$409.50,Plano,TX
75097,$409.50,Plano,TX
75098,$409.50,Wylie,TX
75099,$409.50,Wylie,TX
75104,$409.50,Cedar Hill,TX
75106,$409.50,Chatfield,TX
75115,$409.50,Desoto,TX
75116,$409.50,Duncanville,TX
