Zip Code,CPL Payouts,city,state_id
85372,$89.50,Poston,AZ
85373,$89.50,Sun City,AZ
85374,$89.50,Surprise,AZ
85375,$89.50,Sun City West,AZ
85376,$89.50,Sun City West,AZ
85377,$89.50,Carefree,AZ
85378,$89.50,Surprise,AZ
85379,$89.50,Surprise,AZ
85380,$89.50,Surprise,AZ
85381,$89.50,Peoria,AZ
85382,$89.50,Peoria,AZ
85383,$89.50,Peoria,AZ
85385,$89.50,Peoria,AZ
85387,$89.50,Surprise,AZ
85388,$89.50,Surprise,AZ
85392,$89.50,Avondale,AZ
85395,$89.50,Goodyear,AZ
85396,$89.50,Buckeye,AZ
80010,$86.50,Aurora,CO
80012,$86.50,Aurora,CO
80013,$86.50,Aurora,CO
80014,$86.50,Aurora,CO
80015,$86.50,Aurora,CO
80016,$86.50,Aurora,CO
80017,$86.50,Aurora,CO
80018,$86.50,Aurora,CO
80025,$86.50,Eldorado Springs,CO
80026,$86.50,Lafayette,CO
80027,$86.50,Louisville,CO
80110,$86.50,Englewood,CO
80111,$86.50,Englewood,CO
80112,$86.50,Englewood,CO
80113,$86.50,Englewood,CO
80120,$86.50,Littleton,CO
80121,$86.50,Littleton,CO
80122,$86.50,Littleton,CO
80202,$86.50,Denver,CO
80203,$86.50,Denver,CO
80204,$86.50,Denver,CO
80205,$86.50,Denver,CO
80206,$86.50,Denver,CO
80207,$86.50,Denver,CO
80209,$86.50,Denver,CO
80210,$86.50,Denver,CO
80211,$86.50,Denver,CO
80212,$86.50,Denver,CO
80216,$86.50,Denver,CO
80218,$86.50,Denver,CO
80219,$86.50,Denver,CO
80220,$86.50,Denver,CO
80222,$86.50,Denver,CO
80223,$86.50,Denver,CO
80224,$86.50,Denver,CO
80227,$86.50,Denver,CO
80230,$86.50,Denver,CO
80231,$86.50,Denver,CO
80235,$86.50,Denver,CO
80236,$86.50,Denver,CO
80237,$86.50,Denver,CO
80238,$86.50,Denver,CO
80239,$86.50,Denver,CO
80246,$86.50,Denver,CO
80247,$86.50,Denver,CO
80249,$86.50,Denver,CO
80301,$86.50,Boulder,CO
80302,$86.50,Boulder,CO
80303,$86.50,Boulder,CO
80304,$86.50,Boulder,CO
80305,$86.50,Boulder,CO
80501,$86.50,Longmont,CO
80503,$86.50,Longmont,CO
85117,$86.00,New River,AZ
85118,$86.00,Gold Canyon,AZ
85119,$86.00,Apache Junction,AZ
85120,$86.00,Apache Junction,AZ
85121,$86.00,Bapchule,AZ
85122,$86.00,Casa Grande,AZ
85123,$86.00,Arizona City,AZ
85128,$86.00,Coolidge,AZ
85130,$86.00,Coolidge,AZ
85131,$86.00,Eloy,AZ
85132,$86.00,Florence,AZ
85138,$86.00,Maricopa,AZ
85139,$86.00,Maricopa,AZ
85141,$86.00,Picacho,AZ
85144,$86.00,San Tan Valley,AZ
85147,$86.00,Sacaton,AZ
85172,$86.00,Stanfield,AZ
85178,$86.00,Superior,AZ
85191,$86.00,Valley Farms,AZ
85193,$86.00,Casa Grande,AZ
85194,$86.00,Casa Grande,AZ
80132,,Monument,CO
80504,,Longmont,CO
80516,$85.50,Erie,CO
80534,,Johnstown,CO
80542,$85.50,Mead,CO
80543,$85.50,Milliken,CO
80550,$85.50,Windsor,CO
80615,$85.50,Eaton,CO
80620,$85.50,Evans,CO
80631,$85.50,Greeley,CO
80634,$85.50,Greeley,CO
80645,$85.50,La Salle,CO
80829,$85.50,Manitou Springs,CO
80831,$85.50,Peyton,CO
80903,$85.50,Colorado Springs,CO
80904,,Colorado Springs,CO
80905,,Colorado Springs,CO
80906,,Colorado Springs,CO
80907,,Colorado Springs,CO
80908,$85.50,Colorado Springs,CO
80909,$85.50,Colorado Springs,CO
80915,,Colorado Springs,CO
80917,$85.50,Colorado Springs,CO
80918,$85.50,Colorado Springs,CO
80919,$85.50,Colorado Springs,CO
80920,$85.50,Colorado Springs,CO
80921,$85.50,Colorado Springs,CO
80922,$85.50,Colorado Springs,CO
80923,$85.50,Colorado Springs,CO
80924,,Colorado Springs,CO
80926,,Colorado Springs,CO
80927,,Colorado Springs,CO
80938,$85.50,Colorado Springs,CO
80951,,Colorado Springs,CO
80104,$85.00,Castle Rock,CO
80108,$85.00,Castle Rock,CO
80109,$85.00,Castle Rock,CO
80116,$85.00,Franktown,CO
80118,$85.00,Larkspur,CO
80124,$85.00,Lone Tree,CO
80125,$85.00,Littleton,CO
80126,$85.00,Littleton,CO
80129,,Littleton,CO
80130,$85.00,Littleton,CO
80134,$85.00,Parker,CO
80135,,Sedalia,CO
80138,$85.00,Parker,CO
80513,,Berthoud,CO
80521,,Fort Collins,CO
80524,$84.50,Fort Collins,CO
80525,$84.50,Fort Collins,CO
80526,$84.50,Fort Collins,CO
80528,$84.50,Fort Collins,CO
80535,$84.50,Laporte,CO
80537,$84.50,Loveland,CO
80538,$84.50,Loveland,CO
80547,$84.50,Timnath,CO
21157,$83.00,Westminster,MD
21704,$83.00,Frederick,MD
21754,$83.00,Ijamsville,MD
21771,$83.00,Mount Airy,MD
21774,$83.00,New Market,MD
21784,$83.00,Sykesville,MD
18036,$82.00,Coopersburg,PA
18901,$82.00,Doylestown,PA
18902,$82.00,Doylestown,PA
18910,$82.00,Doylestown,PA
18911,$82.00,Doylestown,PA
18912,$82.00,Buckingham,PA
18913,$82.00,Carversville,PA
18914,$82.00,Chalfont,PA
18916,$82.00,Colmar,PA
18917,$82.00,Dublin,PA
18920,,Erwinna,PA
18921,,Ferndale,PA
18922,,Ferndale,PA
18923,$82.00,Fountainville,PA
18927,,Hilltown,PA
18928,$82.00,Hilltown,PA
18931,$82.00,Kintnersville,PA
18932,$82.00,Line Lexington,PA
18933,$82.00,Lumberville,PA
18934,$82.00,Lumberville,PA
18935,,Milford Square,PA
18938,,New Hope,PA
18943,,Ottsville,PA
18944,,Perkasie,PA
18946,,Pineville,PA
18949,,Pipersville,PA
18950,,Point Pleasant,PA
18951,,Quakertown,PA
18955,,Richlandtown,PA
18966,,Southampton,PA
18970,,Trumbauersville,PA
18974,,Warminster,PA
19007,,Bristol,PA
