Zip Code,CPL Buyer Payouts,city,state_id,,ZIP Code,Duration Buyer Payouts,City,State
85029,$159.50,Phoenix,AZ,,32727,$99.75,Eustis,FL
85030,$159.50,Phoenix,AZ,,32732,$99.75,Geneva,FL
85031,$159.50,Phoenix,AZ,,32771,$99.75,Sanford,FL
85032,$159.50,Phoenix,AZ,,32777,$99.75,Tangerine,FL
85033,$159.50,Phoenix,AZ,,32779,$99.75,Longwood,FL
85034,$159.50,Phoenix,AZ,,32789,$99.75,Winter Park,FL
85035,$159.50,Phoenix,AZ,,32801,$99.75,Orlando,FL
85036,$159.50,Phoenix,AZ,,32806,$99.75,Orlando,FL
85037,$159.50,Phoenix,AZ,,32807,$99.75,Orlando,FL
85038,$159.50,Phoenix,AZ,,32818,$99.75,Orlando,FL
85039,$159.50,Phoenix,AZ,,32820,$99.75,Orlando,FL
85040,$159.50,Phoenix,AZ,,32824,$99.75,Orlando,FL
85041,$159.50,Phoenix,AZ,,32826,$99.75,Orlando,FL
85042,$159.50,Phoenix,AZ,,32835,$99.75,Orlando,FL
85043,$159.50,Phoenix,AZ,,32837,$99.75,Orlando,FL
85044,$159.50,Phoenix,AZ,,32902,$99.75,Melbourne,FL
85045,$159.50,Phoenix,AZ,,32910,$99.75,Palm Bay,FL
85046,$159.50,Phoenix,AZ,,32926,$99.75,Cocoa,FL
85048,$159.50,Phoenix,AZ,,32927,$99.75,Cocoa,FL
85050,$159.50,Phoenix,AZ,,32937,$99.75,Satellite Beach,FL
85051,$159.50,Phoenix,AZ,,32940,$99.75,Melbourne,FL
85053,$159.50,Phoenix,AZ,,32952,$99.75,Merritt Island,FL
85054,$159.50,Phoenix,AZ,,32953,$99.75,Merritt Island,FL
85060,$159.50,Phoenix,AZ,,32955,$99.75,Rockledge,FL
85061,$159.50,Phoenix,AZ,,32958,$99.75,Sebastian,FL
85062,$159.50,Phoenix,AZ,,32960,$99.75,Vero Beach,FL
85063,$159.50,Phoenix,AZ,,32962,$99.75,Vero Beach,FL
85064,$159.50,Phoenix,AZ,,32966,$99.75,Vero Beach,FL
85065,$159.50,Phoenix,AZ,,32967,$99.75,Vero Beach,FL
85066,$159.50,Phoenix,AZ,,32968,$99.75,Vero Beach,FL
85067,$159.50,Phoenix,AZ,,33019,$99.75,Hollywood,FL
85068,$159.50,Phoenix,AZ,,33021,$99.75,Hollywood,FL
85069,$159.50,Phoenix,AZ,,33025,$99.75,Hollywood,FL
85070,$159.50,Phoenix,AZ,,33027,$99.75,Hollywood,FL
85071,$159.50,Phoenix,AZ,,33028,$99.75,Pembroke Pines,FL
85072,$159.50,Phoenix,AZ,,33065,$99.75,Pompano Beach,FL
85073,$159.50,Phoenix,AZ,,33066,$99.75,Pompano Beach,FL
85074,$159.50,Phoenix,AZ,,33071,$99.75,Pompano Beach,FL
85075,$159.50,Phoenix,AZ,,33076,$99.75,Pompano Beach,FL
85076,$159.50,Phoenix,AZ,,33160,$99.75,North Miami Beach,FL
85078,$159.50,Phoenix,AZ,,33179,$99.75,Miami,FL
85079,$159.50,Phoenix,AZ,,33301,$99.75,Fort Lauderdale,FL
85080,$159.50,Phoenix,AZ,,33304,$99.75,Fort Lauderdale,FL
